author;year;title;journal;pages;place;taxa;region;number
Macquart, P.J.M.;1850;Dipteres exotiques nouveaux ou peu connus. 4.Supplément;Mémoires de la Société royale des Sciences, de l`Agriculture et des Artes (1849);61-96, 309-479, 14 pls. (365-400, 61-96, pls. 6-9);Lille;n.sp./Codula n.gen./;/Neotr:/Austr:/Afrot:/;5437
Macquart, P.J.M.;1854;[Presentation to the Societé de Lille];Memoires de la Societé des Sciences, de L`Agriculture et des Arts a Lille;430-436;Lille;;;11285
Macquart, P.J.M.;1855;Dipteres exotiques nouveaux ou peu connus. 5.Supplément;Mémoires de la Société royale des Sciences, de l`Agriculture et des Artes (1854);25-156, 7 pls. (68-86, pl. 2);Lille;;/Neotr:/Austr:/;5439
Maes, J.M.;1987;Fauna entomológica del Departamento de Zelaya, Nicaragua;*Rev. Nica. Ent. 1;11-16;?;;/Neotr:/Nicaragua/;10800
Maes, J.M.;1992;Fauna entomológica del Archipiélago de Solentiname, Nicaragua;*Rev. Nica. Ent. 21;19-24;?;;/Neotr:/Nicaragua/;10801
Maes, J.M. & Palacios-Vargas, J.G. & Jimenez, M.L.;1989;Catálogo de los artrópodos terrestres no insectos;*Rev. Nica. Ent. 7;1-55;?;;/Neotr:/Nicaragua/;10798
Maes, J.M. & Tellez-Robleto, J.;1988;Catálogo de los insectos y artrópodos terrestres asociados a las principales plantas de importancia económica en Nicaragua;*Rev. Nica. Ent. 5;1-95;?;;/Neotr:/Nicaragua/;10799
Maes, R.;1996;Een synecologische studie van enkele Diptera groepen van het natuurgebied Groot Schietveld;*Licentiaatsthesis, UIA, Wilrijk;?;?;Eutolmus rufibarbis/;/Palae:/Europe/The Netherlands/;10864
Maggenti, A.R. & Maggenti, A.M. & Gardner, S.L.;2005;Online Dictionary of Invertebrate Zoology: Complete Work;Lincoln: University of Nebraska;970 pp.;;;;11104
Mahr, S.;1999;Know your friends: robber flies;Midwest Biological Control News 6;1-2;Madison;;/Nearc:/;11129
Maia, V.C., Couri, M.S., Lamas, C.J.E., Pamplona, D., & de C. Aires, C.C.;2002;A survey of the Diptera fauna of Serra Do Cipo (Minas Gerais, Brazil);Entomologist`s Monthly Magazine 138;109-117;London;;/Neotr:/Brazil/;10528
Majer, J.M.;1981;Tabanidae, Stratiomyidae, Rhagionidae, Acroceridae and Asilidae (Diptera) of the Hortobagy National Park. In: ?: The Fauna of the Hortobagy National Park;*[unknown];203-206;;Stratiomyidae/Rhagionidae/;/Palae:/Hungary/;10479
Majer, J.M.;1985;Stratiomyidae, Rhagionidae and Asilidae (Diptera) fauna of the Juniper Woodland at Barcs, Hungary [in Hungarian];Dunántúli Dolgozatok Természettudományi sorozat 5;139-144;Pécs;Stratiomyidae/Rhagionidae/;/Palae:/Hungary/;5459
Majer, J.M.;1987;Tabanidae, Xylomyidae, Stratiomyidae, Rhagionidae, Acroceridae and Asilidae (Diptera) of the Kishunsag National Park;Budapest: Academiai Kiado (The Fauna of the Kiskunsag National Park);245-250;;Stratiomyidae/Rhagionidae/Acroceridae/;/Palae:/Hungary/;5460
Majer, J.M.;1990;Tabanidae, Xylomyidae, Stratiomyidae, Rhagionidae and Asilidae (Diptera) of the Batorliget Nature Conservation Areas;Budapest: Academiai Kiado (The Batorliget Nature Reserves - after forty years);541-546;;Stratiomyidae/Rhagionidae/;/Palae:/Hungary/;5461
Majer, J.M.;1997;2.38 European Asilidae. - In: Papp, L. & Darvas, B. (Eds.): Contribution to a Manual of Palaearctic Diptera (with special reference to flies of economic importance), Vol. 2 Nematocera and Lower Brachycera;Budapest: Science Herald;592 pp. (549-567);;;/Palae:/Europe/;9346
Majer, J.M.;2000;Contributions to data on the dipterous fauna (Diptera: Brachycera, Orthorapha) of the Szársomlyó Hill (Villány Hills), South Hungary. Rhagionidae, Stratiomyidae, Xylomyidae and Asilidae [in Hungarian];Dunántúli Dolgozatok Természettudományi sorozat 10;347-350;Pécs;Stratiomyidae/Rhagionidae/;/Palae:/Hungary/;10480
Majer, J.M.;2001;Asilidae. - In: Papp, L. (ed.): Checklist of the Diptera of Hungary;Budapest: Hungarian natural History Museum;(156-163);;;/Palae:/Hungary/;10448
Majer, J.M.;2001;Checklist of robber-flies of Somogy county (Diptera: Asilidae) [in Hungarian];Natura Somogyiensis 1;407-408;Kaposvár;;/Palae:/Hungary/;10481
