author;year;title;journal;pages;place;taxa;region;number
Aaron, S.F.;1894;The bold robber fly;Entomological News 5;110-112;Vincentown;Asilus/;/Nearc:/;14
Aartsen, B. van;1992;Vangsten van Neoitamus socius, Machimus rusticus en Choerades fulvus in Nederland (Diptera: Asilidae);Entomologische Berichten. Nederlandse Entomologische Vereniging 52;120;Amsterdam;Neoitamus/Choerades/;/Palae:/Europe/Netherlands/;15
Aartsen, B. van & Goot, V.S. van der;1981;De jachtgewoonten van een aantal roofvliegen in Nederland (Diptera, Asilidae);Entomologische Berichten. Nederlandse Entomologische Vereniging 41(7);97-101;Amsterdam;;/Palae:/Europe/Netherlands/;16
Abbassian-Lintzen, R.;1964;Asilidae (Diptera) of Iran. I. Robber flies belonging to the subfamilies Laphriinae and Dasypogoninae (with description of new species);Annals and Magazine of Natural History 13(7);417-435;London;Eremisca/Laphriini/Laphria/Choerades/Dasypogoninae/n.sp./;/Palae:/Iran/;17
Abbassian-Lintzen, R.;1964;Asilidae (Diptera) of Iran. II. Notes on the genus Eremisca Zin. and description of E.schahgudiani n.sp.;Annals and Magazine of Natural History 13(7);547-552;London;Eremisca n.sp./;/Palae:/Iran/;18
Adamovic, Z.R.;1949;La mouche rapace Dasypogon teutonus L. comme l`ennemie des abeilles (in serbisch);*Arch. Sci. Biol., Belgrade 1;266-269;?;Molobratia teutonus/Hymenoptera/Apis/;/Palae:/;35
Adamovic, Z.R.;1950;Contribution à la connaissance de Dysmachus bilobus Löw (Asilidae);*Ann. Inst. Biol. Sarajevo 3;205-212;Sarajevo;Dysmachus/;/Palae:/;36
Adamovic, Z.R.;1950;Seconde contribution à l`étude des Asilides comme les ennemis des abeille (in serbisch);*Arch. Sci. Biol., Belgrade 2;74-79;?;Selidopogon/Machimus/Hymenoptera/Apis/;/Palae:/;37
Adamovic, Z.R.;1959;Machimus biljici n.sp. (Asilidae, Diptera) aus Srbija;*Bull. Mus. r. Hist. nat. Belg. (B) 14;43-44;Bruxelles;Machimus n.sp./;/Palae:/;38
Adamovic, Z.R.;1963;Ecology of some asilid-species (Asilidae, Diptera) and their relation to honeybees (Apis mellifera L.);*Mus. Hist. Nat. Beograd 1963;1-104;Beograd;Hymenoptera/Apis/;/Palae:/;39
Adamovic, Z.R.;1963;The feeding habits of some asilid species (Asilidae, Diptera) in Yugoslavia;Archiv bioloskih Nauka 15(1-2);37-74;Beograd;;/Palae:/Yugoslavia/;40
Adamovic, Z.R.;1964;Robber flies position in the biotic community (Diptera, Asilidae);Zastita prirode 27-28;221-227;Beograd;Laphria/Molobratia/;/Palae:/;41
Adamovic, Z.R.;1966;Ecological differences of some closely related species;Ekologija 1;121-131;Beograd;Echthistus/;/Palae:/;42
Adamovic, Z.R.;1968;Feeding-habits of some robber flies preying upon Orthoptera;Ekologiia 3;119-132;Sofia;Stenopogon/Philonicus/Dysmachus/Machimus/Orthoptera/;/Palae:/;43
Adamovic, Z.R.;1971;The distribution of robber flies (Diptera, Asilidae) in Djevdjeliska Kotlina, Yugoslavia;Bulletin du Muséum d`Histoire Naturelle de Beograd (Prirodnjacki Muzej Beograd) (B)26;79-114;Beograd;;/Palae:/Yugoslavia/;45
Adamovic, Z.R.;1972;Bee-killing robber flies (Diptera, Asilidae) in the area of Ulcinj, Montenegro;Acta entomologica Jugoslavica 8(1-2);33-37;Zagreb;Molobratia/Dasypogon/Hymenoptera/Apis/;/Palae:/;46
Adamovic, Z.R.;1972;Habitat distribution of the robber flies (Diptera, Asilidae) in the district of Ulcinj, Montenegro;Acta entomologica Jugoslavica 7(2);25-35;Zagreb;;/Palae:/Yugoslavia/;44
Adamovic, Z.R.;1973;The mating behavior and the oviposition of some robber flies (Diptera, Asilidae);Ekologija 7(1-2);207-225;Beograd;;/Palae:/;47
Adamovic, Z.R.;1973;The mating habits and egg-laying of some Echthistus, Eutolmus and Dysmachus species of the robber flies (Diptera, Asilidae);Bulletin du Muséum d`Histoire Naturelle de Beograd (Prirodnjacki Muzej Beograd) (B)28;111-133;Beograd;Echthistus/Eutolmus/Dysmachus/;/Palae:/;48
Adamovic, Z.R.;1974;Copulation and oviposition of Dysmachus hradskyi Adamovic (Diptera, Asilidae);Bulletin du Muséum d`Histoire Naturelle de Beograd (Prirodnjacki Muzej Beograd) (B)29;45-49;Beograd;Dysmachus/;/Palae:/;49
Adamovic, Z.R.;1977;Dysmachus hradskyi sp.n. aus Jugoslawien (Diptera, Asilidae);Sbornik entomologickeho Oddeleni narodniho Musea v Praze 39;45-47;Praha;Dysmachus n.sp./;/Palae:/Yugoslavia/;50
Adams, C.C.;1915;An ecological study of prairie and forest invertebrates;Bulletin of the Illinois State Laboratory of Natural History 11(2);33-264 (186-187, 230);Normal;;/Nearc:/;51
Adams, C.F.;1905;Diptera africana I.;Kansas University. Science Bulletin 3;147-208 (151-155);Lawrence;;/Afrot:/;9671
Adams, F.C.;1896;Rare Diptera taken in the New Forest in 1896;The Entomologist`s Monthly Magazine 32;233;London;Syrphidae/;/Palae:/UK/;52
Adams, F.C.;1896;Useful trap for insects;The Entomologist`s Monthly Magazine 32;18;London;Laphria/Syrphidae/;/Palae:/UK/;53
Adams, F.C.;1898;Diptera taken in the New Forest;The Entomologist`s Monthly Magazine 34;42-43;London;Syrphidae/;/Palae:/UK/;54
Adams, F.C.;1899;Asilus crabroniformis, L., near Lyndhurst;The Entomologist`s Monthly Magazine 35;15;London;Asilus/;/Palae:/UK/;55
Adams, F.C.;1900;Local and rare Diptera taken in the New Forst, 1899;The Entomologist`s Monthly Magazine 36;14;London;Dioctria/Syrphidae/;/Palae:/UK/;56
Adams, F.C.;1902;Notes on Diptera in the New Forest during 1901;The Entomologist`s Monthly Magazine 38;84-85;London;Asilus/Syrphidae/;/Palae:/UK/;57
Adams, F.C.;1906;Notes on Diptera in the New Forest, 1905;The Entomologist`s Monthly Magazine 42;116-117;London;Dioctria/Lasiopogon/Syrphidae/;/Palae:/UK/;58
Adisoemarto, S.;1967;The Asilidae (Diptera) of Alberta;Quaestiones entomologicae. University of Alberta 3(1);3-90;Edmonton;Asilus+Eucyrtopogon n.sp./;/Nearc:/Canada/Alberta/USA/;60
Adisoemarto, S. & Wood, D.M.;1975;The Nearctic species of Dioctria and six related genera (Diptera, Asilidae);Quaestiones entomologicae. University of Alberta 11;505-576;Edmonton;Dioctria/;/Nearc:/USA/Canada/;61
Agassiz, J.L.R.;1848;Nomenclatoris zoologici. Index Universalis;Solothurn;1135 pp.;;;;68
Ahrens, A.;1814;Fauna insectorum europae. Fasc. 2, with 25 colored pls.;Halle;(fig. 1) [nur Original];;;/Palae:/Europe/;9672
Ainslie, C.N.;1910;The New Mexico range caterpillar;*USDA Bureau of Entomology Bulletin 85;59-96 (92);Washington? Beltsville?;Stenopogon/Erax/Lepidoptera/;/Nearc:/Neotr:/;78
Al-Ahmadi, A.Z. & Salem, M.M.;1999;Entomofauna of Saudi Arabia, Part 1: Checklist of Insects;Riyadh: Academic Publishing  & Press, King Saud University;240 pp.;;;/Palae:/Asia/Saudi Arabia/;11171
Alayon Garcia, G.;1984;Consideraciones sobre el valor de la tela de barrere y la depredacion en aranas (Araneae);Miscelanea zoologica. Academia de Ciencias de Cuba. Instituto de Zoologia 18;3-4;La Habana;Plesiomma/Arachnidae/;/Neotr:/;83
Alcock, J.;1974;Observations on the behavior of Mallophora fautrix Osten Sacken (Diptera: Asilidae);Pan-Pacific Entomologist 50;68-72;San Francisco;Mallophora/;/Nearc:/;88
Alcock, J.;1977;The courtship behavior of Heteropogon stonei (Diptera: Asilidae);Journal of the Kansas Entomological Society 50;238-243;Manhattan - Lawrence;Heteropogon/;/Nearc:/;89
Aldrich, J.M.;1905;A catalogue of North American Diptera;Smithsonian Miscellaneous Collections 46(2);680 pp. (253-283);Washington;;/Nearc:/;91
Aldrich, J.M.;1907;Additions to my catalogue of North American Diptera;Journal of the New York Entomological Society 15;2-9 (5);New York;;/Nearc:/;92
Aldrich, J.M.;1923;New genera of two-winged flies of the subfamily Leptogastrinae of the family Asilidae;Proceedings of the United States National Museum 65;1-6;Washington;Leptogastrinae/Psilonyx+Eurhabdus+Schildia n.gen./;/Nearc:/;93
Alex, A.H.;1948;Notes on robber flies (Asilidae) preying on honey bees in the San Antonio area during 1936;Bulletin of the Brooklyn Entomological Society 42(1947);170-172;New York - Lancaster;Hymenoptera/Apis/;/Nearc:/;98
Alexander, C.P.;1920;The crane-flies of New York. Part II. Biology and phylogeny;Memoirs. Cornell University agricultural Experiment Station 38;695-1133 (727-728);Ithaca;Lasiopogon/Proctacanthus/Neoitamus/Asilus/;/Nearc:/;99
Alexander, C.P.;1940;The Presidential range of New Hampshire as a biological envirement, with particular reference to the insects;The American Midland Naturalist 24;104-132 (121);Notre Dame;Cyrtopogon/Laphria/;/Nearc:/;100
Alfken, J.D.;1891;Erster Beitrag zur Insekten-Fauna der Nordsee-Insel Juist;Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen 12;97-130 [112];Bremen;;/Palae:/Germany/;10275
Alfken, J.D.;1924;Die Insekten des Memmert. Zum Problem der Besiedelung einer neuentstehenden Insel;Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen 25;358-481 [435];Bremen;;/Palae:/Germany/;10276
Al-Houty, W.;1989;Insect Fauna of Kuwait;Kuweit: Fahad Al-Marzouk, Printing & Publishing Establishment; 189 pp.;;;/Palae:/Asia/Kuwait/;11170
Alkan, B.;1952;Biologie, Schaden und Bekämpfung von Getreidewanzen (Eurygaster integriceps Put. und Aelia rostrata Boh.) in der Türkei;*Transactions of the 9th International Congress of Entomology 1;623-626 (625);?;Heteropogon/Heteroptera/;/Palae:/Turkey/;102
Allen, A.A.;1967;Sarcophaga filia Rond. (Dipt., Calliphoridae) in East Kent;The Entomologist`s Monthly Magazine 102;155;London;Dysmachus/Philonicus/;/Palae:/;104
Alpay Aral, N. & Aktas, M. & Hasbenli, A.;2007;Contributions to the Leptogastrinae fauna of Turkey (Diptera: Asilidae);Dipterological Research 18(1);7-13;Ljubljana;Leptogastrinae/;/Palae:/Turkey/;11323
Andersson, H.;1999;[Red-listed or rare invertebrates associated with hollow, rotting, or sapping trees or polypores in the town of Lund] [In Swedish];Entomologisk Tidskrift 120(4);169-183;Stockholm;;/Palae:/Sweden/;10470
Andretta, M.A.V. de & Carrera, M.;1952;Resultados de uma expedicao cientifica ao territorio do Acre. - Diptera;Papeis avulsos do Departamento de Zoologia. Secretaria da Agricultura 10(17);293-306;Sao Paulo;Diptera/Syrphidae/Bombyliidae/Asilidae/;/Neotr:/Brazil/;135
Andrews, A.W.;1918;Diptera collected on Whitefish Point, Chippewa Co;Occasional Papers. Museum of Zoology. University of Michigan 53;*?;Ann Arbor;;/Nearc:/;137
Andrews, C.W.;1900;A monograph of Christmas Island (Indian Ocean);London: British Museum (Natural History);(88);;;/Austr:/Orien:/Christmas Islands/;143
Andrews, H.W.;1905;Rare Diptera in 1903;The Entomologist`s Monthly Magazine 41;72;London;Machimus/;/Palae:/UK/;144
Andrews, H.W.;1910;[Isopogon brevirostris from Shoreham, Kent];The Entomologist`s Record and Journal of Variation 26;266;London;Isopogon/Leptarthrus/;/Palae:/UK/;145
Andrews, H.W.;1924;Eutolmus rufibarbis Mg. in North Kent;The Entomologist`s Record and Journal of Variation 36;172;London;Eutolmus/;/Palae:/UK/;146
Andrews, H.W.;1926;[Female of Asilus crabroniformis with its prey, Necrophorus vestigator (Col.)];The Entomologist 59;327;London;Asilus/;/Palae:/;148
Andrews, H.W.;1926;Predacious Diptera;The Entomologist`s Record and Journal of Variation 38;159;London;Asilus/Eutolmus/;/Palae:/UK/;147
Andrews, H.W.;1929;[Neoitamus cyanurus & Dioctria baumhaueri];Proceedings of the Entomological Society of London 4;23;London;Neoitamus/Dioctria/;/Palae:/UK/;149
Andrews, H.W.;1930;[Neoitamus cyanurus];Transactions of the Entomological Society of the South of England 1930(6);41;Southampton;Neoitamus/;/Palae:/UK/;150
Andrews, H.W.;1932;Diptera in 1931;The Entomologist`s Record and Journal of Variation 44;122-123;London;Dioctria/Machimus/;/Palae:/UK/;151
Andrews, H.W.;1936;The life history of Asilus crabroniformis, L.;The Entomologist`s Record and Journal of Variation 48;34;London;Asilus/;/Palae:/;152
Andrews, H.W.;1940;A collecting note on Diptera;The Entomologist`s Record and Journal of Variation 52;89-91, 106;London;Asilus/Leptarthrus/Eutolmus/;/Palae:/UK/;153
Andrews, H.W.;1950;Notes on some Diptera at St.Davis, Pembrokeshire;The Entomologist`s Record and Journal of Variation 62;18-21;London;Dysmachus/;/Palae:/;155
Annecke, D.P.;1967;Three new southern African species of Oobius Trj., 1963 (Hymenoptera: Encyrtidae);Journal of Natural History 1;319-325;London;Hyperechia/;/Afrot:/;164
Anonymous;1920;Hofrat Hermann;Deutsche Medizinische Wochenschrift 46(14/15);40;;;/Palae:/Germany/;11068
Anonymous;1963;International Commission on Zoological Nomenclature: Opinion 678: The suppression under the Plenary Powers of the pamphlet published by Meigen, 1800;The Bulletin of Zoological Nomenclature. The Official Periodical of the International Commission Zoological Nomenclature (ICZN) 20;339-342;London;Syrphidae/;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3
Anonymous;1978;The Australian Bush;The Australian Women`s Weekly, Australian Consolidated Press Ltd., 168, Castlereagh St., Sydney;128 pp. (56-57);;Cerdistus constrictus/;/Austr:/;9991
Anonymous;1985;International Commission on Zoological Nomenclature: Opinion 1342: Damalis planiceps Fabricius, 1805 designated as type species of Damalis Fabricius, 1805 (Insecta, Diptera);The Bulletin of Zoological Nomenclature. The Official Periodical of the International Commission Zoological Nomenclature (ICZN) 42(3);264-265;London;Damalis/;/Austr:/Orien:/Afrot:/Palae:/;7
Anonymous;1988;Iconographia Insectorum Japonicorum. Vol III.  (9th edition).  Colore naturali edita [in Japanese];Tokyo: Hokuryukan;202-204, pl. 101-102;;;/Palae:/Asia/Japan/;10077
Anonymous;2001;Bibliografia Dipterologiczna Polski;http://pte.au.poznan.pl/sekcje.htm;76 pp.;;;/Palae:/EuropePoland/;11247
Anonymous;2005;The primary Diptera types of the Australian National Insect Collection, Canberra (ANIC);[unpublished manuscript];61 pp.;Canberra;;/Austr:/Australia/;10865
Anonymous;2007;Diptera type catalogue of the Department of Entomology, California Academy of Sciences, San Francisco, California, USA (CAS);Internet: http://www.calacademy.org/research/entomology/typesDB/default.asp;17 pp.;;;/Nearc:/USA/California/;11021
Anonymous;2007;Diptera type catalogue of the Department of Entomology, Cornell University, Ithaca, New York, USA (CUI);Internet: http://www.entomology.cornell.edu/CUIC/Search/typeSearch.form?searchTerm=Diptera;3 pp.;;;/Nearc:/;11023
Anonymous;2007;Diptera type catalogue of the Department of Entomology, Ohio State University, Columbus, Ohio, USA (OSU);Internet: http://hymfiles.biosci.ohio-state.edu/types/dips/fams.html;3 pp.;;;/Nearc:/;11026
Anonymous;2007;Diptera type catalogue of the Natural History Museum of Los Angeles County, Los Angeles, California, USA (LACM);Internet: http://www.phorid.net/type%20database/diptera.asp;1 p.;;;/Nearc:/;11024
Anonymus;1920;[Note on Hermann];Deutsche Medizinische Wochenschrift 46(14/15);1;;;;11042
Anonymus;1991;Catalogue of the Insect Type Specimens preserved in the Insect Collections of the Institute of Zoology, Academia Sinica;Taipei: China Agricultural Press;164 pp. (87);;Leptogaster/Ammophilomina/Lagynogaster/Mesoleptogaster/Psilonyx/Sinopsilonyx/;/Palae:/Asia/Taiwan/China/;11150
Ansorge, J.;1996;Insekten aus dem oberen Lias von Grimmen (Vorpommern, Norddeutschland);*Neue Palaonotologische Abhandlungen 2;1-132 ( 79-105), pls. 1-17;?;;;9422
Aoki, A.;1949;On some alpine Asilidae from Formosa and Japan [In Japanese];*Kontyû 17(6);59-60;?;Neoitamus+Cyrtopogon n.sp./;/Orien:/Palae:/Formosa/Japan/Taiwan/;171
Aoki, A.;1950;Family Asilidae. in: Esaki, T. (et al.): Iconographia insectorum japonicorum, Hokuryukan [in Japanese];Tokyo;1597-1606;;;/Palae:/Japan/;172
Ardö, P.;1957;Studies in the amrine shore dune ecosystem with special reference to the Dipterous fauna;Opuscula entomologica. Societas Entomologica Lundensis, Suppl. 14;255 pp. (1, 100-101, 167-168, 203, 222-225);Lund;;/Palae:/;183
Arias, J.;1912;Notas dipterológicas. II.Una nueva especie de Asilido de Espana;Boletin de la Real Sociedad espanola de Historia natural 12;123-126;Madrid;Templasilus n.sp./;/Palae:/Spain/;190
Arkell, W.J.;1941;Diptera from White Horse Vale and Cumnor Berks;The Entomologist`s Monthly Magazine 77;251;London;Isopogon/Tolmerus/Leptarthrus/;/Palae:/UK/;191
Arnaud, P.H.;1974;Myolestes Brèthes, 1904 (Diptera: Asilidae), a valid generic name and a senior homonym of Myolestes Matthew, 1909 (Mammalia: Nyctitheriidae);The Wasmann Journal of Biology 32;203-205;San Francisco;Myolestes/Cyrtophrys/;/Neotr:/;195
Arnaud, P.H. & Owen, T.C.;1981;Charles Howard Curran (1894-1972);*Myia 2;1-393 (41-56);?;Tachinidae/Syrphidae/Mallophora/Mirolestes/Myolestes/;/Nearc:/;196
Arnett, R.H. & Samuelson, G.A. & Heppner, J.B. & Nishida, G.M. & Watt, J.C.;1986;The insect and spider collections of the world;Gainesville: E.J. Brill;220 pp.;;Syrphidae/;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;199
Arnett, R.H. & Samuelson, G.A. & Nishida, G.M.;1993;The insect and spider collections of the world, Second Edition;Gainesville: Sandhill Crane Press;*?;;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;200
Artigas, J.N.;1961;Diferenciation del genero Chileno `Deromyia` Phillippi y el Norteamericano `Diogmetes` Loew;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 2;11 pp.;Concepcion;Deromyia/Diogmetes/;/Nearc:/Neotr:/Chile/;206
Artigas, J.N.;1964;Revision del genero Pronomopsis Hermann, con la descripcion de una nueva especie (Diptera - Asilidae);Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 12;16 pp.;Concepcion;Pronomopsis/;/Neotr:/;207
Artigas, J.N.;1966;The genus Diogmites (robber flies) in eastern United States;Ohio Journal of Science 66(4);401-421;Bowling Green;Diogmites n.sp./;/Nearc:/USA/Neotr:/;208
Artigas, J.N.;1967;The Asilidae (Diptera) of Chile, 2 Vols.;Xerography of Doctoral Diss., University Microfilms;674 pp.;Ann Arbor;n.gen./n.sp./;/Neotr:/Chile/;209
Artigas, J.N.;1970;Lochmorhynchus leoninus n.sp. una nueva especie de Asilidae para Chile y Peru (Diptera - Asilidae);Boletin de la Sociedad de Biologia de Concepcion 42;67-70;Concepcion;Lochmorhynchus n.sp./;/Neotr:/Chile/Peru/;210
Artigas, J.N.;1970;Los Asilidos de Chile;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 17;472 pp.;Concepcion;Leptochelina+Atractocoma+Eremomyia+Lochyrus+Megametopon+Menexenus+Nesiotes+Nomomyia+Rhadinosoma+Zoticus n.gen./;/Neotr:/Chile/;211
Artigas, J.N.;1971;Las structuras quitinizadas de la spermatheca y funda del pene de los Asilidos y su valor sistematico a traves del estudio por taxonomica numerica;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 18;106 pp.;Concepcion;;/Neotr:/Chile/;212
Artigas, J.N.;1973;Alyssomyia quinquemaculata y A.misera, dos nuevas especies de Asilidae Chilenos y clave para las especies del genero (Diptera - Asilidae);Revista chilena de Entomologia 7;123-129;Santiago;Alyssomyia n.sp./;/Neotr:/Chile/;213
Artigas, J.N.;1974;Aymarasilus inti n.sp., nuevo genero y especie de asilido de Chile (Diptera - Asilidae);Boletin de la Sociedad de Biologia de Concepcion 47;227-232;Concepcion;Aymarasilus n.gen/;/Neotr:/Chile/;214
Artigas, J.N.;1974;Scylaticus carrascoi n.sp. del Altiplano Chileno Peruano (Diptera - Asilidae);Boletin de la Sociedad de Biologia de Concepcion 48;5-9;Concepcion;Scylaticus n.sp./;/Neotr:/Chile/Peru/;215
Artigas, J.N.;1974;Zoticus fitzroyi, una nueva especie de asilido de la Patagonia Argentina (Diptera - Asilidae);Revista chilena de Entomologia 8;119-121;Santiago;Zoticus n.sp./;/Neotr:/Argentina/;216
Artigas, J.N.;1980;Myaptex acutus sp. n., asilido nuevo de Chile (Diptera-Asilidae);*Brenesia 17;365-370;?;Myaptex n.sp./;/Neotr:/Chile/;217
Artigas, J.N.;1981;Lochmorhynchus albinigrus n.sp., nueva especie de asilido argentino (Diptera-Asilidae);Boletin de la Sociedad de Biologia de Concepcion 52;187-190;Concepcion;Lochmorhynchus n.sp./;/Neotr:/Argentina/;218
Artigas, J.N.;1982;Menexenus schlingeri sp. n., nuevo asilido de Argentina y consideraciones sobre el genero Menexenus Artigas 1970 (Diptera-Asilidae);Boletin de la Sociedad de Biologia de Concepcion 53;19-23;Concepcion;Menexenus n.sp./;/Neotr:/Argentina/;219
Artigas, J.N.;1983;Apoxyria cymbafer sp. n., nueva especie y primer registro del genero para Chile (Diptera, Asilidae, Laphystiinae);Boletin de la Sociedad de Biologia de Concepcion 54;27-33;Concepcion;Apoxyria n.sp./Hexameritia/;/Neotr:/Chile/;220
Artigas, J.N.;1996;Martintella a new name for Martinella Artigas y Papavero, 1995 (Diptera, Asilidae);Boletin de la Sociedad de Biologia de Concepcion 67;75;Concepcion;Martintella n.nom./Martinella/;/Neotr:/Chile/;9264
Artigas, J.N.;2007;Historia taxonomica de los asilidos chilenos (Insecta, Diptera) [Taxonomic history of the Chilean robber flies (Insecta: Diptera];Boletin de la Sociedad de Biologia de Concepcion 78;51-66;Concepcion;;/Neotr:/Chile/;11324
Artigas, J.N. & Angulo, A.O.;1980;Revision del genero Mallophora Macquart por sistematica alfa y taxonomia numérica (Diptera - Asilidae);Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 43;182 pp.;Concepcion;Mallophora n.sp./;/Neotr:/;221
Artigas, J.N. & Hengst, M.;1998;Asilidae. - In: Morrone, J.J. & Coscarán, S. (eds.): Biodiversidad de Artrópodos argentinos;Ediciones SUR;599 pp. (353-364);;;/Neotr:/Argentina/Chile/;9849
Artigas, J.N. & Hengst, M.;1999;Clave ilustrada para los géneros de asílidos argentinos (Diptera: Asilidae);Revista Chilena de Historia Natural 72;107-150;Santiago;;/Neotr:/Argentina/;9850
Artigas, J.N. & Lewis, P.D. & Parra, L.E.;2005;Review and phylogeny of the genus Tillobroma Hull with the description of ten new species and its relation with the genus Hypenetes Loew (Diptera, Asilidae, Stenopogoninae);Revista Chilena de Historia Natural 78(3);519-588;Santiago;Tillobroma n.sp./Hypenetes/;/Nearc:/Neotr:/;10937
Artigas, J.N. & Papavero, N.;1988;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermatecae and other morphological details. I.Key to the subfamilies and subfamily Leptogastrinae;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 52(1-2);95-114;Concepcion;Leptogastrinae/Leptogaster/;/Nearc:/Neotr:/;222
Artigas, J.N. & Papavero, N.;1988;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details.  II. Key to the genera of Dasypogoninae Macquart, with descriptions of new genera and species and new synonymies;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 52(3-4);199-260;Concepcion;Dasypogoninae/Allopogon/Apolastauroides+Araucopogon n.gen./Lastaurina/Lastaurus/Macrocolus+Neodiogmites n.sp./Saropogon/Alvarenga/Aspidopyga/Aphamartania/Comantella/Cophura/Hodophylax/Nicocles/Theromyia/Cyrtophrys/Megapoda/Pronomopsis/...;/Nearc:/Neotr:/;223
Artigas, J.N. & Papavero, N.;1989;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. III. Key to the genera of Trigonomiminae Enderlein, with description of a new genus and species;Boletin de la Sociedad de Biologia de Concepcion 60;35-41;Concepcion;Meliponomima n.gen/Trogonomiminae/;/Nearc:/Neotr:/Brazil/;224
Artigas, J.N. & Papavero, N.;1990;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. V. Subfamily Stichopogoninae G.H. Hardy;Boletin de la Sociedad de Biologia de Concepcion 61;39-47;Concepcion;Argyropogon n.gen./Lissiteles/Townsendia/Lasiopogon/Stichopogon/Stichopogonini/;/Nearc:/Neotr:/Argentina/;225
Artigas, J.N. & Papavero, N.;1991;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. VII.1. Subfamily Stenopogoninae Hull. A preliminary classification into tribes;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 55(2);139-144;Concepcion;Stenopogonini/Bathypogonini/Ceraturgini/Plesiomatini/Cyrtopogonini/Acronychini/Willistonini/Tillobromini/Stenopogoninae/;/Nearc:/Neotr:/;226
Artigas, J.N. & Papavero, N.;1991;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. VII.2. Subfamily Stenopogoninae Hull - Tribes Acronychini, Bathypogonini (with description of a new genus) and Ceratu;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 55(3);247-255;Concepcion;Carebaricus n.gen./Myelaphus/Ceraturgus/Acronyches/Acronychini/Bathypogonini/;/Nearc:/Neotr:/;227
Artigas, J.N. & Papavero, N.;1991;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. VII.3. Subfamily Stenopogoninae Hull - Tribes Dioctriini and Echthodopini;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 55(4);261-266;Concepcion;Dictriini/Echthodopini/Nannodioctria/Dioctria/Dicolonus/Metadioctria/Echthopoda/Eudioctria/Bohartia/;/Nearc:/Neotr:/;228
Artigas, J.N. & Papavero, N.;1991;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. VII.4. Subfamily Stenopogoninae Hull - Tribe Enigmomorphini, with descriptions of three new genera and species and a;Boletin de la Sociedad de Biologia de Concepcion 62;27-53;Concepcion;Araujoa+Archilestroides+Taperigna n.gen./Enigmomorphini/;/Nearc:/Neotr:/;229
Artigas, J.N. & Papavero, N.;1991;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. VII.5. Subfamily Stenopogoninae Hull. - Tribe Tillobromini, with descriptions of three new genera and two new species;Revista chilena de Entomologia 19;17-27;Santiago;Grajahua+Scylaticina+Scylaticodes n.gen./Tillobroma/Coleomyia/Euthrixius/Zabrotica/Tillobromin/;/Nearc:/Neotr:/;230
Artigas, J.N. & Papavero, N.;1991;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. VII.7. Subfamily Stenopogoninae Hull. - Tribe Cyrtopogonini with descriptions of four new genera and one new species;Boletin de la Sociedad de Biologia de Concepcion 62;55-81;Concepcion;Ivettea+Lonquimayus+Nothopogon+Raulcortesia n.gen./Holopogon/Ablautus/Backomyia/Callinicus/Cyrtopogon/Dasycyrton/Eucyrtopogon/Graptostylus/Hadrokolos/Heteropogon/Itolia/Metapogon/Sintoria/Wilcoxia/Nannocyrtopgon/Pritchardomyia/;/Nearc:/Neotr:/;231
Artigas, J.N. & Papavero, N.;1993;The American genera of Asilidae (Diptera): Keys for identification with an atlas of female spermathecae and other morphological details. VII.6. Subfamily Stenopogoninae Hull - tribes Phellini, Pleiommatiini, Stenopogonini and Willistoninini;Gayana. Zoologia. Universidad de Concepcion, Instituto Central de Biologia 57(2);309-321;Concepcion;Phellini/Obelophorus/Plesiommatini/Cystoprosopa/Plesiomma/Dapsilochaetus/Stenopogonini/Stenopogon/Scleropogon/Ospriocerus/Willistoninini/Willistonina/;/Nearc:/Neotr:/;232
